DW_CLIENTES;DW_TEMPO;DW_LOCALIDADE;total_sales;sales_amount;total_sales_price
5cdb333d3bd2c2ff2d60756a4cec9c8a0de9b962fdcc2ee50dca3e278e79f424;e103ce12abdece9ae645656eb2e271cc9bc5686e47d206a489206516a8f56afc;c1f96bfae1d221cf8ceda395222262ef077083b8b9f9e6a8cd1eccabc6964921;2204776.0;"";1.7200425E7
653f421eb7e271ca430d14e1974611eaaf2e379e5f9bbe61f03b4592db481e59;659594a73cb69ea91956417760244010f3b5c228816d281b4498b1b65f04bb0d;1616b5088c2860013dad346b50ecf985d7c6e78627954331568a60ed64c84dc9;2204776.0;"";1.7200425E7
f17319bf879a710e7d8a2dee5cdae622bc0ea8b1642e4b72a5b0667e7b9b6f0e;137d2448e6ca1f5344a4d485c2966dfeb10178c61f2f1e5a557989d59b4f57d7;14a9051280b7d7237049ac7e9365d251dd6e124bc2a1c262c83a44aeae3c0fcd;2204776.0;"";1.7200425E7
f17319bf879a710e7d8a2dee5cdae622bc0ea8b1642e4b72a5b0667e7b9b6f0e;dada8f1fe673a2165cf9d94a0be6936eb8291345fc1075d191dbd94986bb5017;14a9051280b7d7237049ac7e9365d251dd6e124bc2a1c262c83a44aeae3c0fcd;2204776.0;"";1.7200425E7
f17319bf879a710e7d8a2dee5cdae622bc0ea8b1642e4b72a5b0667e7b9b6f0e;e99f91f525fe2f9c8111d2a3f8e7c93d1d4fa099c2bb8f966895f7c2647a14fd;14a9051280b7d7237049ac7e9365d251dd6e124bc2a1c262c83a44aeae3c0fcd;2204776.0;796.0;1.7200425E7
f17319bf879a710e7d8a2dee5cdae622bc0ea8b1642e4b72a5b0667e7b9b6f0e;8fc02d49e7e28aa25b3de450da817801a0c7fc279da684bc52a1044ec8a1dfab;14a9051280b7d7237049ac7e9365d251dd6e124bc2a1c262c83a44aeae3c0fcd;2204776.0;"";1.7200425E7
2dbbb6296bff28e83b150059994b212d44e81c14f0dfaa76243833a4961ab081;09d99423b209b7d6fe36469728fb3ec01cc6dca6510b260224c45aa7e662a7ce;f6542b53c48c8e978222e5d60f133315d0a9bf6fd8da4236c9cd15265b1b1489;2204776.0;"";1.7200425E7
2a301879e15ad90f5b4e9924fec1536e39a3def99261840c71e1e1e6db93b242;a48ac525ec50109594838d2a99391b14aaf3894526f01eab88ffeb4498ece48b;1926211b83e65d05dd4d3b0bb3c7ec6d655f1b6c8c1afc074d909257ee64d320;2204776.0;"";1.7200425E7
15d23b275cf2c47bc2e0217b933b32adcb745d94d824cd21c54d949997e6c011;5062389fdb756639ec94e68113abcb4005f045fa2d8bb4dd464d1fd10c9c73a4;869e3338ab6ad0746d0c920eb7e99af6ceb10be47208fc598f6a450b127e63f4;2204776.0;"";1.7200425E7
d59e7bc4634f55cbbd8d0c15bc8334685683020271b63fc0535316b049782287;1d674d5a7683b7a43d70e4f4c1febcb36fbf44003d0345c85735dab20403c417;3143fffeec9f042e8d4ecd4aac7c26a06c3679e6ad718edefe3a0aa96a896b39;2204776.0;"";1.7200425E7
ee8f3415e63547af4260a2a57ae1809fcf696a9be8c710566e9a90585f9388bf;03aa7226917648e413c063532114478017a34462a19e0c941f2c41f58a10ac61;abc945d66c0dee37dcc6ed6e2103c17e13142866518ab0ca5c521a6b47bb3878;2204776.0;"";1.7200425E7
9938181bd22c63b4600931d2a3451c0fd33262077112d08a6b95513c53492b22;a4118b723291b104d4539d05255091c7c885eb4c31e3d032cd613f2e141bed37;5cc7a8abfbb39a4a0a0f7db73563529cc3a4fb0c63896ec6cb5650bae0243dd9;2204776.0;"";1.7200425E7
9c26f8679fa66899e8f52086d5983af582f36a5e74200de9f80aa737350ebb4a;2d8150a744748e754d4a93e360eeebeaf09900985890a01195732f60e014c6c6;148907fa148938b809f790d3287551cda13f338c09cbbd41a57172071b881777;2204776.0;"";1.7200425E7
02bbcb63ddff8459182436b0ce4a081620bfb4503424a3a84611f294009e427c;05148c2feed3604e981fd569e0802d54b485d2f047edfd83723c509baa00c60a;50d3573beafb6fc91fcce12752de95e0dc5574ce9a19f6c1424f4035868749f1;2204776.0;"";1.7200425E7
32491451cf832f5eecb201d175a601fbbb3502059edddcfffdacb0c571c8232f;dc867bfb7452bf6d354182c9ecf748b6e7f55193d3ee03767e4fdea278eb7a47;81b16712e7be7b0d93d4e9c97d9744ce8233647766930e526e5414070fba966a;2204776.0;"";1.7200425E7
eee3b07e40e3bc5fed0a313ee96aa5f1b82f9d182ffc44fd9dcab2c22858e109;f5357fb8ce0d9b5db87abb5f2865f6711243a1d4a019e61d62060902af9aba46;09ef349bd1029df61a5ce90f38f8778202520cc5cb028ae0848c4fd13aedd117;2204776.0;"";1.7200425E7
eee3b07e40e3bc5fed0a313ee96aa5f1b82f9d182ffc44fd9dcab2c22858e109;f344d46cf644498bd666e95a97da46d8df936246f6465df5b877b256781528e0;09ef349bd1029df61a5ce90f38f8778202520cc5cb028ae0848c4fd13aedd117;2204776.0;"";1.7200425E7
